date,nav,invested_today,extra_amount,carry_over,total_invested,total_units,portfolio_value,MA,RSI,daily_ret
2022-03-21,10.17,1000.0,0.0,1000.0,1000.0,98.32841691248771,1000.0,9.953500000000002,60.5769230769231,
2022-03-22,10.22,1000.0,0.0,2000.0,2000.0,196.1757750338184,2004.9164208456243,9.965,61.320754716981135,1.0049164208456243
2022-03-23,10.19,1000.0,0.0,3000.0,3000.0,294.31120192292536,2999.031147594609,9.975,62.49999999999998,0.49583848803517294
2022-03-24,10.17,1000.0,0.0,4000.0,4000.0,392.6396188354131,3993.1449235561513,9.9845,63.10679611650482,0.33147830983978843
2022-03-25,10.13,1000.0,0.0,5000.0,5000.0,491.35630195486027,4977.439338802735,9.991499999999998,65.65656565656568,0.2464960411128796
2022-03-28,10.15,1000.0,0.0,6000.0,6000.0,589.878469442545,5987.266464841832,10.004999999999999,77.01149425287363,0.20288085043382953
2022-03-29,10.21,1000.0,0.0,7000.0,7000.0,687.8216623906351,7022.659173008385,10.018,76.74418604651169,0.17293245828401682
2022-03-30,10.31,1000.0,0.0,8000.0,8000.0,784.8148728659019,8091.441339247449,10.0345,76.74418604651169,0.15219052212400297
2022-03-31,10.31,1000.0,0.0,9000.0,9000.0,881.8080833411686,9091.441339247449,10.053500000000001,74.68354430379753,0.12358737560754607
2022-04-01,10.39,1000.0,0.0,10000.0,10000.0,978.0544741015151,10161.985985914742,10.078,76.47058823529419,0.11775301701016172
2022-04-04,10.53,1000.0,0.0,11000.0,11000.0,1073.0212357349435,11298.913612288954,10.1135,78.02197802197806,0.11188045603980146
2022-04-05,10.55,1000.0,0.0,12000.0,12000.0,1167.8079655927634,12320.374037003654,10.157,82.02247191011236,0.09040341928127815
2022-04-06,10.51,1000.0,0.0,13000.0,13000.0,1262.9554441845808,13273.661718379943,10.195,74.99999999999994,0.077374897751735
2022-04-07,10.43,1000.0,0.0,14000.0,14000.0,1358.8327212699114,14172.625282845176,10.224,62.66666666666661,0.06772536347076286
2022-04-08,10.48,1000.0,0.0,15000.0,15000.0,1454.2525685981557,15240.566918908673,10.251999999999999,71.23287671232873,0.07535242164034028
2022-04-11,10.47,1000.0,0.0,16000.0,16000.0,1549.7635523612885,16226.024393222691,10.2785,68.11594202898547,0.06466015861203833
2022-04-12,10.37,1000.0,0.0,17000.0,17000.0,1646.195567790411,17071.04803798656,10.296,61.842105263157855,0.052078292518580094
2022-04-13,10.35,1000.0,0.0,18000.0,18000.0,1742.8139252783335,18038.12412663075,10.314499999999999,61.842105263157855,0.05665007130741184
2022-04-18,10.22,1000.0,0.0,19000.0,19000.0,1840.6612833996642,18811.55831634457,10.32,55.29411764705882,0.042877750717545515
2022-04-19,10.12,1000.0,0.0,20000.0,20000.0,1939.475512648676,19627.4921880046,10.314,48.38709677419349,0.043374071299085104
2022-04-20,10.14,1000.0,0.0,21000.0,21000.0,2038.094842037236,20666.281698257575,10.3125,46.06741573033708,0.052925228567296756
2022-04-21,10.25,1000.0,0.0,22000.0,22000.0,2135.655817646992,21890.47213088167,10.314,46.66666666666666,0.05923612435454739
2022-04-22,10.16,12175.609756097561,11175.609756097561,11000.0,34175.60975609756,3334.042604664469,33873.87286339101,10.3125,42.424242424242436,0.5474254123374491
2022-04-25,10.0,6814.960629921259,5814.960629921259,5500.0,40990.57038601882,4015.538667656595,40155.38667656595,10.304,31.775700934579476,0.18543831225049123
2022-04-26,10.1,1000.0,0.0,6500.0,41990.57038601882,4114.548568646694,41556.940543331606,10.3025,29.126213592233114,0.03490325913319081
2022-04-27,9.97,4507.425742574255,3507.4257425742553,3250.0,46497.99612859308,4566.64743951673,45529.4749719818,10.2935,24.561403508771974,0.0955925623183933
2022-04-28,10.07,1000.0,0.0,4250.0,47497.99612859308,4665.952305455161,46986.139715933474,10.2865,31.6666666666667,0.03199388406846526
2022-04-29,9.98,3303.7487586891757,2303.7487586891757,2125.0,50801.74488728225,4996.989255223615,49869.95276713168,10.27,31.404958677685983,0.06137582420332954
2022-05-02,9.91,2202.7805611222457,1202.7805611222457,1062.5,53004.52544840449,5219.267818404467,51722.94408038827,10.25,26.829268292682926,0.037156468182537594
2022-05-04,9.69,1975.2459636730584,975.2459636730584,531.25,54979.77141207755,5423.111571105505,52549.95112401235,10.215,22.916666666666643,0.015989171891273912
