Date,ETF Close,NIFTY Return,RSI,MA20,Invested Today,Carry Over,Additional Invest,Total Invested,Units Bought,Total Units,Portfolio Value,NIFTY Close,Daily_Return
2020-01-29,121.73,0.0061,44.82,12201.5,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,12129.5,
2020-01-30,120.98,-0.0077,37.54,12189.18,1886.25,500.0,386.25,1886.25,15.5914,15.5914,1886.25,12035.8,inf
2020-01-31,120.64,-0.0061,29.3,12175.96,1556.17,250.0,306.17,3442.42,12.8993,28.4907,3437.12,11962.1,0.8221974817760105
2020-02-01,118.72,-0.0251,19.68,12159.4,2380.01,125.0,1255.01,5822.42,20.0472,48.5379,5762.42,11661.85,0.6765256959314776
2020-02-03,118.01,0.0039,23.12,12142.14,0.0,1125.0,0.0,5822.42,0.0,48.5379,5727.96,11707.9,-0.005980126405225605
2020-02-04,119.91,0.0232,36.96,12139.86,0.0,2125.0,0.0,5822.42,0.0,48.5379,5820.18,11979.65,0.016099972765172943
2020-02-05,121.0,0.0091,41.5,12133.52,0.0,3125.0,0.0,5822.42,0.0,48.5379,5873.09,12089.15,0.009090784133823915
2020-02-06,122.08,0.004,47.05,12127.58,0.0,4125.0,0.0,5822.42,0.0,48.5379,5925.51,12137.95,0.008925454913852882
2020-02-07,121.56,-0.0033,47.54,12116.02,0.0,5125.0,163.12,5822.42,0.0,48.5379,5900.27,12098.35,-0.00425954896709313
2020-02-10,121.0,-0.0055,47.41,12099.48,0.0,6125.0,276.28,5822.42,0.0,48.5379,5873.09,12031.5,-0.00460656885193389
2020-02-11,121.69,0.0063,47.52,12087.71,0.0,7125.0,0.0,5822.42,0.0,48.5379,5906.58,12107.9,0.005702279379338648
2020-02-12,122.4,0.0077,48.42,12080.0,0.0,8125.0,0.0,5822.42,0.0,48.5379,5941.04,12201.2,0.005834171381747133
2020-02-13,122.44,-0.0022,52.01,12071.11,0.0,9125.0,108.8,5822.42,0.0,48.5379,5942.98,12174.65,0.000326542154235554
2020-02-14,121.9,-0.005,52.09,12065.56,0.0,10125.0,251.34,5822.42,0.0,48.5379,5916.77,12113.45,-0.0044102453651196916
2020-02-17,121.16,-0.0056,46.96,12059.35,0.0,11125.0,279.24,5822.42,0.0,48.5379,5880.85,12045.8,-0.006070879888858238
2020-02-18,120.57,-0.0044,48.38,12053.63,0.0,12125.0,221.24,5822.42,0.0,48.5379,5852.22,11992.5,-0.00486834386185675
2020-02-19,121.87,0.0111,55.87,12050.91,0.0,13125.0,0.0,5822.42,0.0,48.5379,5915.31,12125.9,0.010780524313850126
2020-02-20,121.51,-0.0037,68.39,12042.54,0.0,14125.0,185.76,5822.42,0.0,48.5379,5897.84,12080.85,-0.0029533532477588054
2020-02-24,119.23,-0.0208,54.52,12028.06,0.0,15125.0,1040.7,5822.42,0.0,48.5379,5787.17,11829.4,-0.01876449683273873
2020-02-25,118.75,-0.0027,41.77,12015.16,8695.64,7562.5,133.14,14518.07,73.2265,121.7644,14459.52,11797.9,1.498547649369208
2020-02-26,117.62,-0.0101,31.58,11992.62,5287.27,3781.25,506.02,19805.34,44.9522,166.7165,19609.2,11678.5,0.3561446023104502
2020-02-27,117.19,-0.0039,27.29,11972.49,3084.14,1890.62,193.52,22889.48,26.3175,193.034,22621.65,11633.3,0.15362431919711161
