INDEX,CURRENT,PCNT_CHNG,OPEN,HIGH,LOW,INDICATIVE_CLOSE,PREV_CLOSE,PREV_DAY27_Feb_2026,1W_AGO_20-Feb-2026,1M_AGO27-Jan-2026,1Y_AGO_25-Feb-2025,52W_H,52W_L,30_D_PCNT_CHNG,365_D_PCNT_CHNG
"NIFTY HEALTHCARE INDEX","14,745.35","-0.85","14,492.30","14,785.90","14,480.55","-","14,871.10","14,871.10","14,560.75","13,951.85","13,014.45","15,148.75","6,482.80",6.91,16.24
"NIFTY CONSUMER DURABLES","36,829.55","-2.01","36,546.20","37,230.30","36,521.65","-","37,585.90","37,585.90","37,588.35","33,954.60","35,577.35","44,426.55","14,089.55",7.07,6.88
"NIFTY OIL & GAS","12,061.80","-1.66","12,085.40","12,159.55","11,996.70","-","12,264.90","12,264.90","12,092.30","11,376.55","9,850.60","13,607.20","4,632.70",3.2,25.77
"NIFTY MIDSMALL HEALTHCARE","43,407.30","-1.24","42,565.80","43,645.25","42,565.80","-","43,954.30","43,954.30","42,563.40","41,354.65","38,114.55","46,103.35","20,019.15",5.39,16.95
"NIFTY FINANCIAL SERVICES EX-BANK","30,919.35","-1.50","30,522.40","31,216.00","30,503.75","-","31,390.65","31,390.65","31,857.40","30,595.40","24,837.35","32,654.20","21,702.40",2.55,27.28
"NIFTY MIDSMALL FINANCIAL SERVICES","20,321.60","-1.28","19,930.90","20,554.30","19,916.65","-","20,585.05","20,585.05","20,880.45","20,399.20","14,298.25","21,300.00","12,407.95",1.35,47.03
"NIFTY MIDSMALL IT & TELECOM","8,378.95","-1.42","8,189.35","8,503.45","8,168.70","-","8,499.40","8,499.40","8,972.40","9,770.50","9,252.90","11,723.20","7,836.00",-14.36,-4.58
"NIFTY CHEMICALS","27,494.20","-0.97","26,754.65","27,563.85","26,754.55","-","27,764.85","27,764.85","28,450.50","27,266.75","-","31,895.45","25,227.25",0.6,0
"NIFTY500 HEALTHCARE","18,666.35","-1.02","18,332.75","18,709.00","18,317.65","-","18,859.45","18,859.45","18,458.35","17,689.65","-","19,594.10","16,294.60",6.18,0
"NIFTY DIVIDEND OPPORTUNITIES 50","6,238.85","-1.23","6,171.40","6,281.45","6,165.50","-","6,316.40","6,316.40","6,332.10","6,360.90","5,694.80","6,584.65","5,288.60",-1.22,13.51
"NIFTY GROWTH SECTORS 15","11,269.15","-1.65","11,234.00","11,397.35","11,213.80","-","11,458.05","11,458.05","11,509.55","12,081.65","11,003.25","12,852.45","9,722.65",-6.04,6.68
"NIFTY100 QUALITY 30","5,504.95","-1.02","5,434.70","5,545.50","5,432.65","-","5,561.50","5,561.50","5,612.85","5,782.95","5,161.65","-","-",-3.85,10.39
"NIFTY50 VALUE 20","12,741.00","-1.16","12,652.55","12,824.50","12,645.90","-","12,890.05","12,890.05","13,058.75","13,175.15","12,346.50","13,684.40","11,375.50",-2.36,6.48
"NIFTY50 TR 2X LEVERAGE","19,644.60","-3.00","19,408.90","19,938.95","19,408.90","-","20,252.80","20,252.80","20,915.90","20,352.25","17,014.90","22,435.45","15,663.75",-2.67,20.02
"NIFTY50 PR 2X LEVERAGE","13,099.55","-3.00","12,942.35","13,295.85","12,942.35","-","13,505.10","13,505.10","13,947.25","13,584.80","11,600.90","14,993.40","10,678.25",-2.77,17.38
"NIFTY50 TR 1X INVERSE","173.15","1.52","174.15","174.15","171.90","-","170.55","170.55","167.80","170.30","184.85","192.05","161.80",1.29,-8.12
"NIFTY50 PR 1X INVERSE","211.85","1.53","213.05","213.05","210.30","-","208.65","208.65","205.30","208.30","223.70","232.40","197.80",1.34,-7.08
"NIFTY50 DIVIDEND POINTS","277.39","-","277.39","277.39","277.39","-","277.39","277.39","277.39","264.68","287.91","-","-",4.8,-3.65
"NIFTY ALPHA 50","50,098.65","-1.11","49,013.50","50,582.65","48,997.05","-","50,663.15","50,663.15","51,047.10","47,879.95","44,561.20","-","-",5.45,18.54
"NIFTY50 EQUAL WEIGHT","32,578.25","-1.53","32,286.45","32,847.25","32,273.80","-","33,083.10","33,083.10","33,356.05","32,480.50","28,252.95","-","-",0.78,18.29
"NIFTY100 EQUAL WEIGHT","33,331.45","-1.58","32,893.45","33,602.75","32,876.25","-","33,865.85","33,865.85","33,989.00","32,749.40","28,864.65","-","-",1.51,19.22
"NIFTY100 LOW VOLATILITY 30","20,207.15","-1.40","20,049.15","20,326.65","20,032.40","-","20,495.00","20,495.00","20,671.75","20,493.35","18,418.95","-","-",-0.53,12.95
"NIFTY200 QUALITY 30","19,939.85","-1.03","19,671.95","20,107.95","19,664.35","-","20,146.80","20,146.80","20,363.80","20,958.45","18,898.85","-","-",-4.09,9.81
"NIFTY ALPHA LOW-VOLATILITY 30","26,842.80","-1.30","26,598.00","27,028.85","26,571.00","-","27,197.20","27,197.20","27,402.40","26,405.90","24,483.15","-","-",3.06,13.47
"NIFTY200 MOMENTUM 30","30,876.00","-1.55","30,408.00","31,228.10","30,395.65","-","31,360.95","31,360.95","31,588.80","30,332.60","27,767.20","-","-",3.81,15.74
"NIFTY MIDCAP150 QUALITY 50","23,120.90","-1.28","22,645.30","23,316.60","22,644.20","-","23,421.20","23,421.20","23,405.20","22,859.60","21,288.35","-","-",0.63,12.91
"NIFTY200 ALPHA 30","25,176.20","-1.18","24,654.30","25,430.60","24,650.25","-","25,477.10","25,477.10","25,621.75","24,185.10","21,475.30","-","-",5.38,22.26
"NIFTY MIDCAP150 MOMENTUM 50","60,986.25","-1.16","59,580.90","61,550.50","59,568.35","-","61,701.40","61,701.40","62,190.80","59,450.00","53,051.55","-","-",2.19,19.97
"NIFTY500 MOMENTUM 50","51,556.45","-1.53","50,678.75","52,140.25","50,657.35","-","52,358.40","52,358.40","52,568.65","50,535.95","46,808.65","-","-",3.49,14.86
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","46,418.30","-1.14","45,323.80","46,886.85","45,315.95","-","46,952.05","46,952.05","47,008.60","45,733.65","42,827.75","-","-",1.13,13.56
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","41,106.70","-1.55","40,126.85","41,515.55","40,114.45","-","41,753.20","41,753.20","42,084.20","40,854.85","40,546.65","-","-",-0.47,6.31
"NIFTY TOP 10 EQUAL WEIGHT","9,116.20","-1.53","9,088.15","9,175.05","9,085.95","-","9,257.40","9,257.40","9,464.15","9,515.65","8,906.50","-","-",-4.07,4.34
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","22,442.30","-1.33","22,170.00","22,574.10","22,166.00","-","22,744.20","22,744.20","22,675.45","22,119.45","20,415.90","-","-",2.22,14.06
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","20,421.05","-1.28","20,218.60","20,550.20","20,212.80","-","20,686.70","20,686.70","20,731.80","20,807.15","18,636.75","-","-",-1.45,12.96
"NIFTY HIGH BETA 50","3,701.55","-2.12","3,631.55","3,751.85","3,627.70","-","3,781.60","3,781.60","3,820.10","3,686.00","3,099.90","-","-",0.92,23.96
"NIFTY LOW VOLATILITY 50","24,810.65","-1.36","24,571.30","24,959.40","24,561.85","-","25,153.25","25,153.25","25,319.00","24,957.85","22,807.80","-","-",0.25,11.67
"NIFTY QUALITY LOW-VOLATILITY 30","16,628.80","-1.38","16,461.45","16,733.20","16,455.10","-","16,860.90","16,860.90","16,950.00","17,054.45","15,967.35","-","-",-1.42,7.33
"NIFTY SMALLCAP250 QUALITY 50","23,647.15","-2.01","23,147.80","23,910.75","23,142.85","-","24,132.05","24,132.05","24,306.50","23,761.40","23,611.55","-","-",-1.18,4.91
"NIFTY TOP 15 EQUAL WEIGHT","10,336.80","-1.62","10,301.60","10,407.50","10,296.60","-","10,507.30","10,507.30","10,696.00","10,564.05","9,434.40","-","-",-1.47,12.2
"NIFTY100 ALPHA 30","17,872.90","-1.56","17,646.60","18,067.30","17,633.25","-","18,155.30","18,155.30","18,228.40","17,482.65","15,879.30","-","-",2.89,17.09
"NIFTY200 VALUE 30","15,880.90","-1.46","15,647.30","15,996.30","15,626.90","-","16,116.65","16,116.65","15,844.10","14,938.70","11,284.40","-","-",6.15,44.08
"NIFTY500 EQUAL WEIGHT","13,509.40","-1.87","13,255.85","13,631.20","13,253.55","-","13,766.80","13,766.80","13,816.05","13,275.00","12,168.80","-","-",0.7,15.32
"NIFTY500 MULTICAP MOMENTUM QUALITY 50","40,082.10","-0.97","39,338.05","40,459.40","39,332.40","-","40,472.90","40,472.90","40,741.00","39,835.30","36,814.05","-","-",0.96,14.02
"NIFTY500 VALUE 50","16,613.30","-1.43","16,343.30","16,732.45","16,325.60","-","16,854.05","16,854.05","16,585.45","15,669.60","12,364.05","-","-",5.59,38.32
"NIFTY TOP 20 EQUAL WEIGHT","9,118.40","-1.57","9,058.10","9,180.40","9,053.50","-","9,263.60","9,263.60","9,420.35","9,286.00","8,468.75","-","-",-1.73,10.54
